name,Control,CIP,FDR,AveExpr,P value,CTRL1,CTRL2,CIP1,CIP2,CTRL1 CPM,CTRL2 CPM,CIP1 CPM,CIP2 CPM
acpT,0,0.622659795626111,0.0103640233436937,5.78064416677314,0.00157692962893843,219,461,446,433,48.645,46.205,60.301,67.003
ymdF,0,-0.715197750516746,0.0104236187953155,4.95265213139415,0.00158836095928617,182,440,166,147,40.426,44.100,22.444,22.747
holB,0,0.664431880871982,0.0104718823325308,6.07231442937927,0.00159808997954495,273,543,637,464,60.639,54.423,86.124,71.800
nei,0,0.66785720145447,0.0105052695203636,5.31226155320767,0.00160556726909865,165,313,345,298,36.650,31.371,46.645,46.113
ydjY,0,-1.74683522724898,0.0105628251645467,1.57248837565836,0.00161675895375715,26,57,10,10,5.775,5.713,1.352,1.547
clpX,0,0.540874194865159,0.0106375500180502,10.5438768599808,0.00163060857419545,5791,13664,11978,11249,1286.310,1369.501,1619.463,1740.698
dcrB,0,0.576326707466423,0.010731377748066,6.98952330069434,0.00164742465656252,534,1049,1003,994,118.613,105.138,135.609,153.814
yigE,0,1.11306283685898,0.0107735742643155,3.71369269366218,0.00165634543111245,33,114,136,121,7.330,11.426,18.388,18.724
pyrD,0,-0.930335373705147,0.0107760459659718,6.67793641667987,0.00166003796886688,615,1670,624,367,136.605,167.379,84.367,56.790
yciA,0,-0.797851250849268,0.0107760459659718,5.20283164020986,0.00166161252990042,248,490,167,193,55.086,49.111,22.579,29.865
gpsA,0,0.678392312239389,0.0108049879134353,8.8287603287597,0.00166852534445566,1533,4346,4039,3408,340.513,435.586,546.085,527.362
fkpB,0,0.562872255321146,0.0108626231411507,6.83359237435493,0.00167988865810993,451,1003,900,890,100.177,100.528,121.683,137.721
yfdG,0,-0.668105842200394,0.0109288815227363,5.47618480010753,0.00169261362358933,293,559,253,202,65.082,56.027,34.206,31.258
mutL,0,0.523475481727152,0.0109289476383392,7.69369037647576,0.00169510208268119,802,1912,1740,1476,178.142,191.634,235.253,228.400
cvpA,0,-0.591626944340006,0.010934827081152,7.65987850188489,0.00169849354888643,1231,2585,1252,900,273.433,259.087,169.274,139.268
ygiN,0,-0.578700094150922,0.0109576984618869,6.93916909154413,0.00170453087184907,780,1490,656,637,173.255,149.338,88.693,98.571
yneP,0,-4.13362731338621,0.0109727406593884,-1.62741778379075,0.00170935891904758,6,14,0,0,1.333,1.403,0.000,0.000
ycjW,0,-1.35302086444463,0.010985793157913,2.4228159481272,0.00171388337701681,38,96,24,19,8.441,9.622,3.245,2.940
surA,0,0.555001804681405,0.0109935401736506,9.59309634105982,0.00171758484799212,2891,7256,6466,5630,642.155,727.246,874.223,871.200
leuL,0,-1.64449631208305,0.0110830528890831,2.10180751601313,0.00173408310509463,41,74,20,11,9.107,7.417,2.704,1.702
pqqL,0,-0.7797738138796,0.0111178366002029,4.54743575953822,0.00174204650583678,147,328,134,98,32.652,32.874,18.117,15.165
ileV,0,-1.31193560040511,0.0112218335281013,4.95821655233341,0.00176597561644044,310.333,417,165.333,92.6667,68.932,41.795,22.354,14.339
ileU,0,-1.31193560040511,0.0112218335281013,4.95821655233341,0.00176597561644044,310.333,417,165.333,92.6667,68.932,41.795,22.354,14.339
ileT,0,-1.31193560040511,0.0112218335281013,4.95821655233341,0.00176597561644044,310.333,417,165.333,92.6667,68.932,41.795,22.354,14.339
malK,0,1.27547874265075,0.0112304693463872,3.70388024742241,0.00176988122352361,39,91,177,96,8.663,9.121,23.931,14.855
gcd,0,0.508518624607238,0.0113083455608966,10.1999510155175,0.00178728273377436,4679,10732,9463,8646,1039.310,1075.635,1279.427,1337.903
cydA,0,-0.547157282560626,0.0113083455608966,8.9028621899129,0.00178487804382312,3059,5638,2682,2435,679.472,565.079,362.615,376.798
uspD,0,-0.726483690923951,0.0114312239623388,5.26450076328724,0.00180929576546769,268,476,197,185,59.529,47.708,26.635,28.627
ydcT,0,0.70112123223008,0.0114692086130453,4.67693478147355,0.00181790857608133,96,214,229,193,21.324,21.449,30.962,29.865
yqeG,0,-1.14010610420569,0.0115146935841119,3.15676964982632,0.00182772914033522,71,128,36,40,15.771,12.829,4.867,6.190
ilvN,0,0.602490338450989,0.0115364273992697,6.08076369617137,0.00183379492219684,258,599,611,475,57.308,60.036,82.609,73.503
yajI,0,-1.18522322675357,0.0116472314728578,3.93299540697895,0.00185404909159778,142,200,66,61,31.541,20.045,8.923,9.439
chaB,0,-0.6310453413956,0.0117997998082423,5.64026065440231,0.00188368686281237,285,689,270,249,63.305,69.056,36.505,38.531
ypeA,0,-0.68046877368231,0.0117997998082423,5.12072157210237,0.0018833285075332,224,449,200,155,49.755,45.002,27.041,23.985
gabP,0,0.724535453824653,0.0118436705393819,6.23968319754423,0.00189337590255425,339,537,657,583,75.299,53.822,88.828,90.215
pepT,0,-0.492589768631701,0.0118480648145529,7.46594981852056,0.0018967650247334,1031,2199,1005,919,229.008,220.399,135.879,142.208
ybhR,0,0.769992021654652,0.0120843703344312,4.74288040467996,0.00193733556155167,112,197,251,197,24.878,19.745,33.936,30.484
ydcR,0,-0.873924685265957,0.0121055469926601,4.72847039325951,0.00194347557161074,203,333,124,125,45.091,33.376,16.765,19.343
pyrF,0,-0.600363149642521,0.0121544567006981,5.98706991113417,0.00195408385505555,384,820,380,289,85.295,82.186,51.377,44.721
cpsG,0,-1.38879342454366,0.012203293699095,2.26313267859947,0.0019647026136865,35,86,22,16,7.774,8.620,2.974,2.476
sfmD,0,-1.61578153134739,0.0122599113629529,1.83950988438983,0.00197668011714599,34,60,13,12,7.552,6.014,1.758,1.857
lysS,0,0.511536853647479,0.0122599113629529,9.75121956743298,0.00197937797968764,3426,7849,7423,5931,760.991,786.681,1003.613,917.777
mtgA,0,-0.683825483432742,0.012326335852274,5.67249709061663,0.00199289738382571,353,619,280,236,78.409,62.040,37.857,36.519
raiA,0,-0.932903050433783,0.0123794598207427,9.71984336318644,0.00200429349478691,5742,12206,3305,4685,1275.426,1223.370,446.846,724.968
deoR,0,-0.607650681353232,0.0124135963765915,5.51134206549668,0.00201263524019568,282,581,262,215,62.638,58.232,35.423,33.270
nmpC,0,-0.647937225748437,0.0124508117907283,6.34760966783556,0.00202149234516133,488,1098,503,349,108.396,110.049,68.007,54.005
aspA,0,-0.512521247936527,0.0125425409130598,7.57205152269214,0.00203922944096687,1121,2375,1039,1016,248.999,238.039,140.476,157.218
yoaC,0,-1.64360052862204,0.0126578471346478,5.23722169765213,0.00206084676704696,482,497,119,151,107.063,49.813,16.089,23.366
fabI,0,0.556908045880837,0.012681946164831,9.81484574761244,0.00206764609807561,3384,8418,7916,6263,751.662,843.710,1070.268,969.152
glmU,0,0.61476381609414,0.0126954946955731,9.2282497218037,0.00207273382784866,2136,5679,5419,4224,474.453,569.189,732.666,653.632
tmk,0,0.617715467385564,0.0127401151612146,5.65867870105075,0.00208393212073969,210,411,451,357,46.646,41.193,60.977,55.243
rpsG,0,0.649360251799584,0.0127401151612146,11.9264610763881,0.00208579663183605,13428,37232,33678,29269,2982.658,3731.648,4553.371,4529.157
dfp,0,0.658841704766438,0.0128031131473074,6.49742795132587,0.00209901378809597,399,679,821,641,88.627,68.054,111.002,99.190
ybjN,0,-0.590137613388706,0.0128590572911049,5.54670371014772,0.00211120416812693,282,601,267,225,62.638,60.236,36.099,34.817
ispF,0,0.582563533746756,0.0128590572911049,5.59760950846402,0.00211401735511362,193,417,414,352,42.870,41.795,55.974,54.469
pgm,0,0.471162950262682,0.0128722409735456,9.11173671527107,0.00212352458854911,2339,4868,4537,3891,519.544,487.905,613.417,602.103
msyB,0,-0.510991991772399,0.0128722409735456,7.24858384802237,0.00211948952301271,936,1819,874,770,207.906,182.313,118.168,119.152
rne,0,0.483556402633498,0.0128722409735456,9.85278997673335,0.00212494136706149,3720,8486,7557,6577,826.295,850.526,1021.730,1017.741
grxA,0,-1.52834035405869,0.0129891027694714,3.06390927830696,0.00214717821291261,82,133,46,20,18.214,13.330,6.219,3.095
gfcA,0,0.942362072920802,0.0130256496302803,3.29389961343819,0.00216503428095134,33,76,97,79,7.330,7.617,13.115,12.225
rstB,0,-0.618750028978156,0.0130256496302803,5.76795601202612,0.00216385700011868,350,677,319,249,77.743,67.854,43.130,38.531
rnt,0,0.608983584994259,0.0130256496302803,5.8515765733153,0.00215735618235161,241,471,519,403,53.531,47.207,70.170,62.361
rpmJ,0,0.504883190105243,0.0130256496302803,9.23804871467222,0.00216268885499511,2343,5662,4943,4351,520.432,567.485,668.309,673.284
casE,0,-1.22991065848325,0.013085934254127,2.98492868757471,0.00217802171032409,51,143,41,27,11.328,14.332,5.543,4.178
ybhF,0,0.558971833209733,0.0131075707412802,6.39646286432473,0.00219053960007337,364,688,717,600,80.853,68.956,96.941,92.845
cbpA,0,-0.486724221608204,0.0131075707412802,8.05397799293607,0.00218823552403053,1494,3415,1503,1395,331.851,342.275,203.210,215.866
yheS,0,0.536014022758073,0.0131075707412802,7.48028844838787,0.00218559571204484,725,1564,1600,1201,161.039,156.755,216.325,185.846
sucC,0,0.516317074418644,0.0131079944651135,8.80367562909125,0.00219358274722307,1965,3664,3697,3214,436.470,367.231,499.846,497.342
bluR,0,-0.611965657844747,0.0131102246532962,8.46195597353377,0.00219808152702425,1984,4942,1782,1898,440.691,495.321,240.932,293.701
deoC,0,0.543262447395184,0.0131102246532962,6.40341215961107,0.00219990164250323,325,773,695,629,72.190,77.475,93.966,97.333
alaA,0,-0.563050978853481,0.0131276341301574,7.13710128883376,0.00220579974840059,769,1955,819,683,170.812,195.944,110.731,105.689
trmO,0,0.588258585741929,0.0131898758640192,5.82483292419922,0.00221924895489847,226,487,507,395,50.200,48.811,68.548,61.123
