name,Control,Treatment,FDR,AveExpr,P value,CRTL1,CRTL2,T2,T1,CRTL1 CPM,CRTL2 CPM,T2 CPM,T1 CPM
lamB,0,1.44632836667853,0.000746871441868902,5.27755778619806,0.0000305443304543724,127,224,338,482,28.453,22.666,52.843,65.850
caiF,0,-1.88340803612209,0.000781253295094872,3.70495816462459,0.0000322421994801058,137,236,39,46,30.693,23.880,6.097,6.284
fliP,0,1.60588158604086,0.000785122940700661,3.75770611496134,0.0000325799315528846,40,76,143,155,8.962,7.690,22.357,21.176
pdeG,0,-2.09204929911346,0.00078687188947139,4.65818499181462,0.000033010835619376,316,447,78,75,70.796,45.230,12.195,10.246
deaD,0,1.0049879151402,0.00078687188947139,10.757829455763,0.0000329177018193547,5635,13443,15585,15722,1262.462,1360.254,2436.579,2147.912
thiS,0,1.44978381493392,0.00078687188947139,4.83312560390533,0.0000331877939777049,82,182,250,361,18.371,18.416,39.085,49.319
dhaR,0,-1.19869737855407,0.000791071976461464,5.04983435239441,0.0000336178351954344,239,530,134,145,53.545,53.629,20.950,19.810
arnB,0,-1.0645635406909,0.000791071976461464,6.001422604202,0.0000337237033049331,473,922,269,295,105.971,93.294,42.056,40.302
cusF,0,1.2696283709606,0.000792194214844437,10.0281394050384,0.000033990223737941,2850,8059,10488,10188,638.512,815.464,1639.708,1391.867
glnL,0,1.02937306059663,0.000792194214844437,6.57115041885827,0.0000341308165125721,351,645,794,936,78.638,65.265,124.135,127.875
bfd,0,-1.05580334252114,0.00083939752578737,6.1860104536637,0.0000365474912660754,535,1045,316,327,119.861,105.740,49.404,44.674
ybaT,0,-1.37171025650244,0.000846998648951899,6.51442198113007,0.0000374523212121588,839,1315,353,369,187.969,133.061,55.188,50.412
thrL,0,-1.18318983782602,0.000854197493247762,5.09413309256984,0.0000400949843769358,262,514,136,152,58.698,52.010,21.262,20.766
mppA,0,-1.08574284025453,0.000854197493247762,5.94303991093131,0.0000400773345050304,423,959,234,310,94.769,97.038,36.584,42.352
flhA,0,1.23512210499993,0.000854197493247762,4.97851498839752,0.0000400580916610977,91,229,298,325,20.388,23.172,46.590,44.401
yfjH,0,-1.49286434955475,0.000854197493247762,4.87869186011415,0.0000394807466649673,274,457,109,112,61.387,46.242,17.041,15.301
glcG,0,1.45117177777482,0.000854197493247762,4.8663231583397,0.0000398929476406017,92,172,322,290,20.612,17.404,50.342,39.619
feoB,0,-1.35901763444018,0.000854197493247762,7.7211347350362,0.0000393464890619829,1718,3356,949,747,384.900,339.583,148.368,102.054
thiE,0,1.13916345739909,0.000854197493247762,8.0056975377243,0.0000397533856438805,969,1576,2240,2631,217.094,159.470,350.205,359.443
yhiD,0,-1.35968445909775,0.000872321899084555,5.50064322025246,0.0000411435272130584,395,681,184,174,88.496,68.908,28.767,23.772
metN,0,-1.70733438512388,0.000890925032854968,5.20804044366224,0.0000422229777475484,285,783,100,171,63.851,79.229,15.634,23.362
ycgJ,0,-1.48113653803241,0.000902813536040022,5.1617556652549,0.0000437046100446823,340,543,129,141,76.173,54.944,20.168,19.263
mgtT,0,-2.81185626964327,0.000902813536040022,3.43256515256475,0.0000444916794911865,167,251,32,20,37.415,25.398,5.003,2.732
blr,0,-2.22332427115503,0.000902813536040022,4.0145943340985,0.0000448335973679739,213,300,43,50,47.720,30.356,6.723,6.831
yfhL,0,-1.60834347169103,0.000902813536040022,3.99669289701098,0.0000438090488025821,150,266,53,62,33.606,26.916,8.286,8.470
agaR,0,-1.08031300223245,0.000902813536040022,6.74924027257676,0.0000448335384417555,705,1745,481,466,157.948,176.571,75.200,63.664
yjbE,0,-1.94144925024153,0.000902813536040022,3.97262432603567,0.0000447145263135497,177,279,42,59,39.655,28.231,6.566,8.060
thiG,0,1.17876547156187,0.000936103772232376,8.43863591407565,0.0000471791388346017,1310,2062,3047,3633,293.492,208.647,476.372,496.334
yciE,0,-1.35723859730221,0.000942257692845262,5.58310773882266,0.0000480878877734455,420,722,158,226,94.097,73.057,24.702,30.876
iap,0,-1.1818921159705,0.000942257692845262,5.04854292664549,0.0000482880359598706,229,544,127,155,51.305,55.046,19.855,21.176
ymfK,0,-1.03147536653853,0.000945613714925627,5.60714530709151,0.000048674447457623,330,741,205,231,73.933,74.979,32.050,31.559
ytiC,0,-3.33360653662902,0.00100797084337288,2.04505483571213,0.0000532556023822861,70,124,10,6,15.683,12.547,1.563,0.820
ydeJ,0,-1.29412829039055,0.00104445470655046,4.31748329592194,0.0000556568834556369,153,322,74,88,34.278,32.582,11.569,12.022
